station,yyyy,mm,af,rain,sun,tmax,tmin
aberporth,1957,3,0,83.1,98.3,12.2,7.4
aberporth,1957,4,0,7.4,181.1,11.3,6.2
aberporth,1957,5,0,54.1,268.7,13.6,7.4
aberporth,1957,6,0,48.5,327.0,18.2,10.6
aberporth,1957,7,0,123.2,142.8,17.7,12.7
aberporth,1957,8,0,52.3,153.4,17.7,12.5
aberporth,1957,9,0,187.7,108.3,15.3,11.1
aberporth,1957,10,0,101.2,77.4,13.8,9.3
aberporth,1957,11,1,59.0,63.0,9.2,5.1
aberporth,1957,12,3,76.5,66.7,8.4,3.3
aberporth,1958,1,7,100.2,50.9,7.7,3.2
aberporth,1958,2,2,100.7,57.3,8.4,3.7
aberporth,1958,3,8,21.1,128.8,7.6,1.7
aberporth,1958,4,4,17.8,169.0,10.6,4.6
aberporth,1958,5,0,95.3,190.8,13.4,7.8
aberporth,1958,6,0,86.9,203.3,16.0,10.0
aberporth,1958,7,0,113.7,161.5,17.1,11.7
aberporth,1958,8,0,108.0,122.2,17.2,12.7
aberporth,1958,9,0,184.5,141.5,17.6,12.1
aberporth,1958,10,0,94.5,80.5,13.1,9.0
aberporth,1958,11,0,73.6,52.9,10.4,5.8
aberporth,1958,12,1,82.8,47.1,8.3,3.8
aberporth,1959,1,5,118.0,72.1,6.4,2.1
aberporth,1959,2,6,10.8,94.5,8.8,2.9
aberporth,1959,3,0,94.1,113.1,10.1,5.2
aberporth,1959,4,0,84.0,155.6,11.5,6.4
aberporth,1959,5,0,46.2,255.1,15.5,8.9
aberporth,1959,6,0,34.9,284.4,17.3,10.9
aberporth,1959,7,0,55.5,243.8,19.1,12.7
aberporth,1959,8,0,17.2,214.7,19.1,13.0
aberporth,1959,9,0,8.9,217.4,19.6,11.5
aberporth,1959,10,0,157.4,114.1,16.2,10.8
aberporth,1959,11,0,229.9,46.9,10.5,6.6
aberporth,1959,12,0,148.9,35.4,9.1,4.9
aberporth,1960,1,4,131.0,58.7,7.9,3.4
aberporth,1960,2,5,112.5,75.5,7.1,2.3
aberporth,1960,3,0,58.3,110.8,10.0,4.2
aberporth,1960,4,0,92.1,187.7,10.9,5.6
aberporth,1960,5,0,46.9,199.2,15.5,9.2
aberporth,1960,6,0,43.4,245.7,18.0,11.6
aberporth,1960,7,0,89.4,165.0,17.0,11.9
aberporth,1960,8,0,98.5,169.9,17.0,12.0
aberporth,1960,9,0,138.4,135.2,15.7,10.6
aberporth,1960,10,0,150.8,73.9,13.0,8.4
aberporth,1960,11,0,204.7,49.3,10.3,5.8
aberporth,1960,12,6,126.1,66.7,7.3,2.8
aberporth,1961,1,7,117.5,37.5,7.2,2.3
aberporth,1961,2,0,72.2,51.9,9.5,5.6
aberporth,1961,3,0,14.6,118.3,11.0,5.7
aberporth,1961,4,0,120.1,123.1,12.4,6.7
aberporth,1961,5,0,40.0,244.5,13.8,7.7
aberporth,1961,6,0,33.2,230.3,16.7,10.2
aberporth,1961,7,0,50.3,185.8,16.9,11.6
aberporth,1961,8,0,100.1,170.2,17.6,12.1
aberporth,1961,9,0,112.9,136.6,17.7,11.9
aberporth,1961,10,0,173.8,83.3,13.4,8.5
aberporth,1961,11,0,63.5,59.6,9.5,5.1
aberporth,1961,12,15,73.2,87.8,6.5,1.7
aberporth,1962,1,4,113.3,59.5,7.8,2.8
aberporth,1962,2,5,28.9,58.3,7.4,3.2
aberporth,1962,3,14,37.6,140.2,6.4,0.5
aberporth,1962,4,1,73.4,182.6,10.3,4.4
aberporth,1962,5,0,52.3,176.0,12.1,7.3
aberporth,1962,6,0,39.0,242.2,16.0,9.3
aberporth,1962,7,0,53.8,149.0,17.0,11.4
aberporth,1962,8,0,96.5,153.7,16.2,11.5
aberporth,1962,9,0,130.8,102.1,15.0,10.4
aberporth,1962,10,0,44.0,126.5,13.9,8.2
aberporth,1962,11,0,72.3,43.9,8.9,4.6
aberporth,1962,12,9,69.2,64.3,6.4,1.8
aberporth,1963,1,26,17.3,98.5,1.3,3.5
aberporth,1963,2,22,27.1,100.5,3.3,1.9
aberporth,1963,3,2,109.9,106.4,8.9,3.9
aberporth,1963,4,0,87.6,134.2,10.9,5.4
aberporth,1963,5,0,52.8,183.5,12.6,7.1
aberporth,1963,6,0,85.3,195.6,16.9,10.7
aberporth,1963,7,0,36.3,153.1,17.3,11.4
aberporth,1963,8,0,62.9,124.5,16.3,11.5
aberporth,1963,9,0,50.3,133.7,15.8,10.3
aberporth,1963,10,0,54.7,70.8,13.8,9.0
aberporth,1963,11,0,187.9,60.1,11.1,6.9
aberporth,1963,12,12,24.1,80.4,6.2,1.2
aberporth,1964,1,6,20.2,40.1,6.9,2.5
aberporth,1964,2,6,20.2,76.5,7.3,2.9
aberporth,1964,3,4,55.1,108.5,7.9,2.8
aberporth,1964,4,0,53.2,131.4,11.0,5.6
aberporth,1964,5,0,55.3,188.2,15.3,9.2
aberporth,1964,6,0,48.8,142.2,15.6,10.3
aberporth,1964,7,0,53.4,158.1,17.2,12.2
aberporth,1964,8,0,45.7,195.8,17.7,12.0
aberporth,1964,9,0,34.1,154.4,17.3,11.1
aberporth,1964,10,0,90.4,117.6,12.8,7.4
aberporth,1964,11,1,60.2,72.3,11.0,6.2
aberporth,1964,12,5,144.3,49.1,7.8,2.4
aberporth,1965,1,9,110.7,77.0,6.8,2.5
aberporth,1965,2,8,13.0,57.1,5.6,1.4
aberporth,1965,3,6,75.0,136.6,9.2,3.2
aberporth,1965,4,0,52.6,188.9,11.0,5.2
aberporth,1965,5,0,34.2,179.6,14.2,8.2
aberporth,1965,6,0,83.2,204.7,15.8,9.9
aberporth,1965,7,0,52.2,162.2,16.1,10.9
aberporth,1965,8,0,37.5,189.1,17.7,12.0
aberporth,1965,9,0,110.8,114.3,14.5,9.5
aberporth,1965,10,0,35.6,156.9,15.1,8.8
aberporth,1965,11,6,110.8,85.5,8.1,3.6
aberporth,1965,12,3,186.1,53.9,8.8,4.2
aberporth,1966,1,11,54.7,44.3,6.0,2.2
aberporth,1966,2,3,120.4,45.4,8.3,4.2
aberporth,1966,3,0,23.9,112.5,9.3,4.8
aberporth,1966,4,2,107.9,113.7,10.7,5.1
aberporth,1966,5,0,62.8,242.0,13.8,7.3
aberporth,1966,6,0,79.3,165.4,16.8,11.2
aberporth,1966,7,0,83.7,190.1,16.3,11.8
aberporth,1966,8,0,54.1,187.1,17.0,11.1
aberporth,1966,9,0,46.3,177.0,17.0,11.1
aberporth,1966,10,0,155.9,110.9,13.1,8.0
aberporth,1966,11,0,75.3,39.4,8.5,4.7
aberporth,1966,12,0,102.3,34.0,8.9,4.9
aberporth,1967,1,3,78.3,48.7,7.4,3.4
aberporth,1967,2,2,90.5,96.1,8.1,3.3
aberporth,1967,3,0,36.7,149.4,9.1,4.6
aberporth,1967,4,1,19.6,137.4,9.8,5.1
aberporth,1967,5,0,110.3,170.4,12.0,6.7
aberporth,1967,6,0,32.1,246.0,16.3,10.1
aberporth,1967,7,0,92.8,168.9,18.2,11.9
aberporth,1967,8,0,52.1,158.6,17.5,11.9
aberporth,1967,9,0,149.3,148.3,15.5,10.8
aberporth,1967,10,0,173.8,66.9,12.9,8.5
aberporth,1967,11,1,64.7,77.1,9.2,3.9
aberporth,1967,12,5,65.4,37.5,8.1,4.2
aberporth,1968,1,6,89.8,28.9,7.8,3.1
aberporth,1968,2,12,29.9,113.2,5.5,0.2
aberporth,1968,3,3,49.2,130.2,8.6,3.6
aberporth,1968,4,3,90.4,189.6,10.8,4.2
aberporth,1968,5,0,47.5,173.8,12.0,6.4
aberporth,1968,6,0,69.9,223.5,16.4,10.3
aberporth,1968,7,0,56.8,228.4,16.8,11.3
aberporth,1968,8,0,39.6,196.9,18.0,12.6
aberporth,1968,9,0,90.6,107.1,15.8,10.9
aberporth,1968,10,0,93.8,58.9,14.7,10.8
aberporth,1968,11,3,65.6,52.8,9.4,5.2
aberporth,1968,12,5,86.3,44.6,6.7,2.4
aberporth,1969,1,2,107.2,34.6,7.9,4.1
aberporth,1969,2,13,46.2,63.1,4.5,0.1
aberporth,1969,3,5,48.8,123.5,7.5,2.0
aberporth,1969,4,0,47.3,205.2,10.5,4.5
aberporth,1969,5,0,94.8,160.8,13.1,7.5
aberporth,1969,6,0,45.8,278.7,16.2,9.6
aberporth,1969,7,0,29.5,193.4,18.5,12.1
aberporth,1969,8,0,78.6,138.1,17.2,12.5
aberporth,1969,9,0,25.8,78.9,16.1,11.4
aberporth,1969,10,0,30.3,114.5,16.1,10.8
aberporth,1969,11,2,146.4,45.9,9.0,4.2
aberporth,1969,12,8,99.6,41.2,6.8,2.4
aberporth,1970,1,7,97.5,40.2,7.5,3.1
aberporth,1970,2,7,79.2,96.2,6.2,1.9
aberporth,1970,3,8,76.1,101.2,6.6,2.0
aberporth,1970,4,2,67.0,135.2,8.8,4.2
aberporth,1970,5,0,28.1,148.9,14.5,8.5
aberporth,1970,6,0,47.3,206.5,18.5,11.5
aberporth,1970,7,0,57.4,150.3,16.6,11.3
aberporth,1970,8,0,42.6,151.8,17.8,12.3
aberporth,1970,9,0,49.4,120.4,16.8,11.5
aberporth,1970,10,0,108.3,75.4,13.3,8.6
aberporth,1970,11,0,181.4,41.7,10.8,6.4
aberporth,1970,12,6,42.9,69.4,7.5,3.3
aberporth,1971,1,4,106.9,36.7,7.7,3.5
aberporth,1971,2,4,31.7,57.4,7.4,2.7
aberporth,1971,3,5,62.8,84.0,7.5,3.1
aberporth,1971,4,0,59.4,139.0,10.7,4.7
aberporth,1971,5,0,44.7,260.9,14.2,7.5
aberporth,1971,6,0,116.9,159.9,14.7,9.1
aberporth,1971,7,0,61.4,254.3,18.4,12.3
aberporth,1971,8,0,136.4,124.9,17.2,12.5
aberporth,1971,9,0,42.3,162.5,18.2,11.2
aberporth,1971,10,0,80.0,128.5,14.9,9.1
aberporth,1971,11,2,89.5,58.8,10.2,5.2
aberporth,1971,12,2,48.5,43.0,9.0,5.3
aberporth,1972,1,3,102.0,48.1,6.8,2.8
aberporth,1972,2,1,88.4,54.9,7.0,2.7
aberporth,1972,3,2,61.1,127.9,9.1,3.8
aberporth,1972,4,0,75.5,164.5,10.2,5.6
aberporth,1972,5,0,65.2,178.9,12.0,6.9
aberporth,1972,6,0,128.5,152.5,12.9,7.7
aberporth,1972,7,0,67.7,182.0,17.0,11.7
aberporth,1972,8,0,32.1,202.1,16.5,11.2
aberporth,1972,9,0,40.6,198.0,15.2,9.0
aberporth,1972,10,0,54.8,101.1,13.9,8.5
aberporth,1972,11,1,91.7,63.7,9.6,5.6
aberporth,1972,12,0,103.4,40.1,9.2,4.7
aberporth,1973,1,5,45.2,40.1,7.4,3.5
aberporth,1973,2,4,45.8,54.0,7.1,3.2
aberporth,1973,3,0,36.0,150.5,9.1,3.5
aberporth,1973,4,2,44.5,174.6,9.2,4.5
aberporth,1973,5,0,66.7,167.5,14.2,7.9
aberporth,1973,6,0,20.3,230.0,16.2,10.0
aberporth,1973,7,0,75.4,188.0,16.8,11.6
aberporth,1973,8,0,119.9,169.4,19.5,13.2
aberporth,1973,9,0,68.7,144.8,16.9,11.3
aberporth,1973,10,0,55.6,94.2,12.8,7.9
aberporth,1973,11,0,83.5,56.4,10.1,5.9
aberporth,1973,12,5,94.2,52.8,8.4,3.7
aberporth,1974,1,2,203.2,44.6,8.6,3.8
aberporth,1974,2,0,116.1,59.7,7.9,3.1
aberporth,1974,3,2,47.6,125.0,8.5,3.0
aberporth,1974,4,0,15.9,220.3,12.4,5.2
aberporth,1974,5,0,51.3,195.8,13.0,6.9
aberporth,1974,6,0,54.0,205.1,15.8,10.1
aberporth,1974,7,0,54.2,173.7,16.7,11.6
aberporth,1974,8,0,47.9,177.2,17.1,11.1
aberporth,1974,9,0,124.2,118.8,14.0,9.2
aberporth,1974,10,0,114.0,65.2,10.5,6.8
aberporth,1974,11,0,89.2,60.0,9.3,5.2
aberporth,1974,12,0,78.9,27.2,9.9,6.2
aberporth,1975,1,0,132.3,31.5,9.1,5.0
aberporth,1975,2,0,31.6,119.1,8.7,2.8
aberporth,1975,3,3,42.0,115.8,7.2,3.0
aberporth,1975,4,1,70.6,148.5,10.3,5.0
aberporth,1975,5,0,23.9,267.3,12.5,6.6
aberporth,1975,6,0,4.3,274.9,17.0,10.5
aberporth,1975,7,0,48.0,195.3,18.7,13.0
aberporth,1975,8,0,47.2,178.2,19.3,13.6
aberporth,1975,9,0,66.8,154.3,15.6,10.0
aberporth,1975,10,0,59.5,138.1,13.4,7.9
aberporth,1975,11,0,69.1,60.7,9.9,5.2
aberporth,1975,12,3,59.9,25.1,8.3,4.6
aberporth,1976,1,2,48.1,27.9,8.0,4.9
aberporth,1976,2,5,40.5,79.7,7.1,2.6
aberporth,1976,3,5,62.0,116.1,8.1,2.2
aberporth,1976,4,0,19.2,178.5,10.5,4.4
aberporth,1976,5,0,56.6,164.3,13.5,7.6
aberporth,1976,6,0,11.5,210.4,18.9,11.1
aberporth,1976,7,0,13.2,193.5,19.6,13.2
aberporth,1976,8,0,0.8,288.5,20.4,13.5
aberporth,1976,9,0,157.8,99.2,15.6,10.6
aberporth,1976,10,0,155.2,76.1,12.7,7.5
aberporth,1976,11,0,81.1,77.7,9.7,5.1
aberporth,1976,12,6,83.0,57.5,5.6,1.6
aberporth,1977,1,8,79.3,48.0,5.9,1.8
aberporth,1977,2,2,150.6,63.9,8.3,3.4
aberporth,1977,3,0,56.9,82.3,9.8,4.7
aberporth,1977,4,0,50.4,176.4,9.3,4.7
aberporth,1977,5,0,50.2,285.8,13.7,6.8
aberporth,1977,6,0,54.3,197.6,14.3,8.9
aberporth,1977,7,0,24.9,209.8,18.1,12.3
aberporth,1977,8,0,91.2,199.9,18.0,11.7
aberporth,1977,9,0,27.8,116.0,15.1,10.4
aberporth,1977,10,0,110.6,110.3,14.7,9.8
aberporth,1977,11,5,118.2,63.1,9.0,4.8
aberporth,1977,12,0,78.2,40.3,8.7,4.9
aberporth,1978,1,3,92.8,64.0,6.6,2.5
aberporth,1978,2,13,74.0,64.7,5.5,1.5
aberporth,1978,3,3,48.0,116.5,9.0,3.9
aberporth,1978,4,2,32.4,164.0,9.4,3.7
aberporth,1978,5,0,14.9,224.8,13.9,7.9
aberporth,1978,6,0,31.1,161.0,15.2,9.8
aberporth,1978,7,0,91.0,132.6,15.7,11.1
aberporth,1978,8,0,61.0,141.0,16.3,11.5
aberporth,1978,9,0,52.0,155.5,16.1,11.2
aberporth,1978,10,0,25.8,67.9,14.4,10.3
aberporth,1978,11,2,71.6,61.7,11.2,7.1
aberporth,1978,12,5,140.0,54.5,7.7,3.3
aberporth,1979,1,17,91.1,69.4,4.6,0.4
aberporth,1979,2,12,54.2,71.9,4.5,0.3
aberporth,1979,3,3,83.3,80.9,6.9,2.2
aberporth,1979,4,1,68.2,160.7,9.7,4.3
aberporth,1979,5,0,98.3,191.5,11.6,5.4
aberporth,1979,6,0,24.0,167.9,15.5,9.6
aberporth,1979,7,0,13.2,211.7,17.6,11.9
aberporth,1979,8,0,93.3,160.9,16.8,11.2
aberporth,1979,9,0,44.6,144.7,15.7,10.3
aberporth,1979,10,0,158.9,110.6,13.9,9.1
aberporth,1979,11,1,93.7,53.9,10.4,5.7
aberporth,1979,12,3,152.8,48.4,8.9,4.4
aberporth,1980,1,9,57.9,78.7,5.8,1.0
aberporth,1980,2,0,89.9,49.8,8.7,4.3
aberporth,1980,3,4,91.6,95.7,7.5,2.9
aberporth,1980,4,0,21.4,169.0,10.5,5.6
aberporth,1980,5,0,27.5,236.7,14.5,7.2
aberporth,1980,6,0,76.4,143.8,15.2,10.2
aberporth,1980,7,0,53.9,170.3,16.6,11.0
aberporth,1980,8,0,66.3,138.6,17.7,12.5
aberporth,1980,9,0,75.4,122.6,16.4,11.5
aberporth,1980,10,0,119.3,78.7,11.8,7.2
aberporth,1980,11,2,64.8,63.4,9.1,5.5
aberporth,1980,12,3,82.9,40.4,8.9,4.4
aberporth,1981,1,1,40.7,51.6,8.0,3.6
aberporth,1981,2,12,52.6,80.1,6.4,1.1
aberporth,1981,3,1,164.5,85.0,9.9,5.7
aberporth,1981,4,0,22.5,167.0,11.2,5.1
aberporth,1981,5,0,70.3,163.0,13.8,7.4
aberporth,1981,6,0,28.1,162.0,15.0,9.8
aberporth,1981,7,0,27.7,132.9,16.5,11.6
aberporth,1981,8,0,24.2,187.6,18.4,12.5
aberporth,1981,9,0,164.8,130.5,17.3,10.8
aberporth,1981,10,0,217.2,75.6,11.0,6.5
aberporth,1981,11,0,51.9,46.6,10.7,6.2
aberporth,1981,12,12,78.0,42.7,5.5,0.6
aberporth,1982,1,9,67.3,56.9,6.2,2.5
aberporth,1982,2,5,78.3,82.0,8.2,3.0
aberporth,1982,3,0,67.5,153.4,8.7,3.3
aberporth,1982,4,0,18.0,185.1,10.7,5.3
aberporth,1982,5,0,30.5,203.8,14.5,7.5
aberporth,1982,6,0,94.5,179.2,17.8,10.7
aberporth,1982,7,0,53.9,190.6,17.9,12.3
aberporth,1982,8,0,74.2,136.9,17.2,12.0
aberporth,1982,9,0,105.4,122.4,16.6,10.7
aberporth,1982,10,0,107.9,80.0,12.7,7.9
aberporth,1982,11,0,141.2,51.3,10.6,6.4
aberporth,1982,12,3,78.9,33.7,8.1,3.2
aberporth,1983,1,1,90.8,28.3,9.1,5.0
aberporth,1983,2,15,31.1,96.5,5.3,0.5
aberporth,1983,3,0,71.8,70.0,8.7,4.4
aberporth,1983,4,1,68.0,179.5,9.1,3.4
