                         tmax  tmin    af   rain    sun   asml        lat      long           gridRef
station         yyyy mm                                                                              
aberporth       1941 1    NaN   NaN   NaN   74.7    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     4   10.3   5.3   NaN   84.9  137.8  133.0  52.139000 -4.570000   224100E 252100N
                     5   14.7   7.6   NaN   60.5  243.0  133.0  52.139000 -4.570000   224100E 252100N
                     6   17.9  11.2   NaN   40.3  249.5  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.9  12.0   NaN   63.4  190.2  133.0  52.139000 -4.570000   224100E 252100N
                     8   17.4  11.5   NaN  158.2  165.8  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.3  10.7   NaN  208.8  100.7  133.0  52.139000 -4.570000   224100E 252100N
                     10  12.9   8.0   NaN   91.9  108.1  133.0  52.139000 -4.570000   224100E 252100N
                     11   9.1   4.8   NaN  170.3   69.5  133.0  52.139000 -4.570000   224100E 252100N
                     12   4.7   1.7   NaN  119.5   33.3  133.0  52.139000 -4.570000   224100E 252100N
                1951 1    6.7   3.2   NaN   89.3   49.7  133.0  52.139000 -4.570000   224100E 252100N
                     2    6.4   2.0   NaN   92.9   92.8  133.0  52.139000 -4.570000   224100E 252100N
                     3    6.9   2.2   NaN  112.6   87.9  133.0  52.139000 -4.570000   224100E 252100N
                     4    9.6   3.7   NaN   77.1  196.6  133.0  52.139000 -4.570000   224100E 252100N
                     5   12.5   6.3   NaN   65.7  188.7  133.0  52.139000 -4.570000   224100E 252100N
                     6   16.3   9.4   NaN   27.1  246.3  133.0  52.139000 -4.570000   224100E 252100N
                     7   18.3  11.8   NaN   78.0  227.3  133.0  52.139000 -4.570000   224100E 252100N
                     8   16.9  11.3   NaN  136.5  154.0  133.0  52.139000 -4.570000   224100E 252100N
                     9   16.4  11.8   NaN  112.1   78.3  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.6   8.1   NaN   35.3  132.8  133.0  52.139000 -4.570000   224100E 252100N
                     11  11.0   7.2   NaN  168.8   59.1  133.0  52.139000 -4.570000   224100E 252100N
                     12   8.7   5.4   NaN  141.6   51.8  133.0  52.139000 -4.570000   224100E 252100N
                1952 1    6.2   2.8   NaN  122.6   63.8  133.0  52.139000 -4.570000   224100E 252100N
                     2    6.9   2.2   NaN   36.3   89.2  133.0  52.139000 -4.570000   224100E 252100N
                     3    9.4   4.7   NaN   49.1  112.7  133.0  52.139000 -4.570000   224100E 252100N
                     4   12.3   5.6   NaN   80.6  146.6  133.0  52.139000 -4.570000   224100E 252100N
                     5   15.2   8.9   NaN  112.7  203.6  133.0  52.139000 -4.570000   224100E 252100N
                     6   15.8   9.9   NaN   87.0  202.4  133.0  52.139000 -4.570000   224100E 252100N
                     7   18.6  12.4   NaN   49.1  170.5  133.0  52.139000 -4.570000   224100E 252100N
                     8   17.9  12.1   NaN  121.5  176.3  133.0  52.139000 -4.570000   224100E 252100N
                     9   14.2   8.8   NaN  113.1  147.3  133.0  52.139000 -4.570000   224100E 252100N
                     10  12.5   8.0   NaN  115.7  116.9  133.0  52.139000 -4.570000   224100E 252100N
                     11   7.8   4.3   NaN   93.0   64.9  133.0  52.139000 -4.570000   224100E 252100N
                     12   6.9   3.1   NaN   96.1   56.4  133.0  52.139000 -4.570000   224100E 252100N
                1953 1    6.8   2.9   NaN   43.1   56.2  133.0  52.139000 -4.570000   224100E 252100N
                     2    7.4   2.8   NaN   46.6   55.1  133.0  52.139000 -4.570000   224100E 252100N
                     3    9.8   2.4   NaN   60.0  165.9  133.0  52.139000 -4.570000   224100E 252100N
                     4   10.2   4.0   NaN   66.8  213.4  133.0  52.139000 -4.570000   224100E 252100N
                     5   15.2   8.6   NaN   55.1  228.8  133.0  52.139000 -4.570000   224100E 252100N
                     6   15.7   9.6   NaN   58.7  221.6  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.2  11.7   NaN   60.5  217.1  133.0  52.139000 -4.570000   224100E 252100N
                     8   18.3  12.2   NaN   83.5  201.8  133.0  52.139000 -4.570000   224100E 252100N
                     9   16.2  11.2   NaN  110.3  148.7  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.6   7.8   NaN   82.0  126.9  133.0  52.139000 -4.570000   224100E 252100N
                     11  11.2   7.4   NaN  126.5   63.3  133.0  52.139000 -4.570000   224100E 252100N
                     12  10.1   7.0   NaN   42.6   48.6  133.0  52.139000 -4.570000   224100E 252100N
                1954 1    6.3   2.9   NaN   78.6   69.3  133.0  52.139000 -4.570000   224100E 252100N
                     2    6.4   1.5   NaN   72.8   93.0  133.0  52.139000 -4.570000   224100E 252100N
                     3    9.1   3.8   NaN   83.2  134.8  133.0  52.139000 -4.570000   224100E 252100N
                     4   11.3   4.2   NaN   21.7  237.0  133.0  52.139000 -4.570000   224100E 252100N
                     5   13.3   7.6   NaN   83.4  160.7  133.0  52.139000 -4.570000   224100E 252100N
                     6   15.3   9.7   NaN   86.2  181.9  133.0  52.139000 -4.570000   224100E 252100N
                     7   15.8  11.1   NaN   64.2  126.3  133.0  52.139000 -4.570000   224100E 252100N
                     8   16.1  11.2   NaN   83.4  149.7  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.3  10.2   NaN   90.1  171.7  133.0  52.139000 -4.570000   224100E 252100N
                     10  14.1  10.3   NaN  189.1   55.0  133.0  52.139000 -4.570000   224100E 252100N
                     11  10.4   5.9   NaN  232.3   58.4  133.0  52.139000 -4.570000   224100E 252100N
                     12   9.2   6.2   NaN  102.2   42.5  133.0  52.139000 -4.570000   224100E 252100N
                1955 1    6.1   2.4   NaN   70.2   46.7  133.0  52.139000 -4.570000   224100E 252100N
                     2    4.6   0.2   NaN   48.6   88.1  133.0  52.139000 -4.570000   224100E 252100N
                     3    6.9   0.5   NaN   83.5  195.8  133.0  52.139000 -4.570000   224100E 252100N
                     4   11.9   5.4   NaN   59.9  186.3  133.0  52.139000 -4.570000   224100E 252100N
                     5   12.6   6.9   NaN   70.1  207.6  133.0  52.139000 -4.570000   224100E 252100N
                     6   16.5  10.9   NaN   94.1  189.3  133.0  52.139000 -4.570000   224100E 252100N
                     7   19.2  11.6   NaN   14.7  342.1  133.0  52.139000 -4.570000   224100E 252100N
                     8   21.3  14.0   NaN   29.9  240.6  133.0  52.139000 -4.570000   224100E 252100N
                     9   17.2  11.6   NaN   58.9  170.6  133.0  52.139000 -4.570000   224100E 252100N
                     10  12.9   8.0   NaN   72.0  122.4  133.0  52.139000 -4.570000   224100E 252100N
                     11  10.3   5.2   NaN   55.7   94.2  133.0  52.139000 -4.570000   224100E 252100N
